# unfoldingWord/en_ult 24-JER.usfm @ 82aad43b84ab35ce7139c2e5e47fea0cd5ef41fb
# Fixes USFM — Richard Mahn, fetched from git.door43.org 2026-08-24
# Every line below is REAL: the line number and the real line text up to the
# end of its last \c / \v marker. Nothing else in the file affects the
# hunk -> verse mapping, so the test rebuilds a stand-in file of exactly
# 43150 lines with these markers at these line numbers.
lines	43150
4688	\q1 \v 20
4718	\v 21
4749	\v 22
4779	\q1 \v 23
4815	\q1 \v 24
4836	\q1 \v 25
4858	\q1 \v 26
4893	\q1 \v 27
4912	\q1 \v 28
4931	\q1 \v 29
4954	\q1 \v 30
4966	\c 7
4968	\v 1
4977	\v 2
5013	\v 3
5039	\v 4
5061	\v 5
5085	\v 6
5118	\v 7
5143	\v 8
5158	\v 9
5182	\v 10
5211	\v 11
5240	\v 12
5274	\v 13
5310	\v 14
5345	\v 15
5371	\v 16
5404	\v 17
5423	\v 18
5465	\v 19
5486	\v 20
5535	\v 21
5553	\v 22
5585	\v 23
5627	\v 24
5662	\v 25
5694	\v 26
5724	\v 27
5752	\v 28
5791	\v 29
5817	\v 30
5848	\v 31
5888	\v 32
5927	\v 33
5957	\v 34
6004	\c 8
6006	\v 1
6051	\v 2
6117	\v 3
6157	\v 4
6179	\q1 \v 5
6199	\q1 \v 6
6237	\q1 \v 7
6275	\q1 \v 8
6301	\q1 \v 9
6331	\q1 \v 10
6369	\q1 \v 11
6389	\q1 \v 12
6429	\q1 \v 13
6469	\q1 \v 14
6512	\q1 \v 15
6530	\v 16
6571	\q1 \v 17
6597	\q1 \v 18
6607	\q1 \v 19
6652	\q1 \v 20
6665	\q1 \v 21
6683	\q1 \v 22
6712	\c 9
6713	\q1 \v 1
6743	\q1 \v 2
6778	\q1 \v 3
6817	\q1 \v 4
6842	\q1 \v 5
6869	\q1 \v 6
6888	\q1 \v 7
6917	\q1 \v 8
6946	\q1 \v 9
6972	\q1 \v 10
7029	\q1 \v 11
7053	\q1 \v 12
7100	\v 13
7131	\v 14
7152	\v 15
7176	\v 16
7208	\q1 \v 17
7238	\q1 \v 18
7262	\q1 \v 19
7291	\q1 \v 20
7322	\q1 \v 21
7348	\q1 \v 22
7381	\q1 \v 23
7414	\q1 \v 24
7452	\v 25
7470	\v 26
7520	\c 10
7521	\q1 \v 1
7532	\q1 \v 2
7563	\q1 \v 3
7592	\q1 \v 4
7612	\q1 \v 5
7655	\q1 \v 6
7670	\q1 \v 7
7707	\q1 \v 8
7721	\q1 \v 9
7756	\q1 \v 10
7783	\q1 \v 11
7809	\q1 \v 12
7834	\q1 \v 13
7876	\q1 \v 14
7903	\q1 \v 15
7919	\q1 \v 16
7949	\q1 \v 17
7962	\q1 \v 18
7991	\q1 \v 19
8012	\q1 \v 20
8049	\q1 \v 21
8071	\q1 \v 22
8105	\q1 \v 23
8126	\q1 \v 24
8140	\q1 \v 25
8184	\c 11
8186	\v 1
8195	\v 2
8219	\v 3
8241	\v 4
8297	\v 5
8334	\v 6
8363	\v 7
8393	\v 8
8440	\v 9
8460	\v 10
8506	\v 11
8540	\v 12
8576	\v 13
8610	\v 14
8649	\q1 \v 15
8681	\q1 \v 16
8714	\v 17
8755	\v 18
8769	\v 19
8819	\q1 \v 20
8850	\v 21
8879	\v 22
8906	\v 23
8931	\c 12
8932	\q1 \v 1
8967	\q1 \v 2
8996	\v 3
9027	\q1 \v 4
9067	\q1 \v 5
9104	\q1 \v 6
9138	\q1 \v 7
9162	\q1 \v 8
9185	\q1 \v 9
9219	\q1 \v 10
9241	\q1 \v 11
9267	\q1 \v 12
9304	\q1 \v 13
9336	\v 14
9379	\v 15
9413	\v 16
9456	\v 17
9479	\c 13
9481	\v 1
9506	\v 2
9524	\v 3
9536	\v 4
9561	\v 5
9577	\v 6
9607	\v 7
9642	\v 8
9651	\v 9
9667	\v 10
9715	\v 11
9769	\v 12
9808	\v 13
9850	\v 14
9891	\q1 \v 15
9903	\q1 \v 16
9943	\q1 \v 17
9980	\q1 \v 18
10004	\q1 \v 19
10031	\q1 \v 20
10053	\q1 \v 21
10086	\q1 \v 22
10114	\q1 \v 23
10139	\q1 \v 24
10156	\q1 \v 25
10179	\q1 \v 26
10196	\q1 \v 27
10230	\c 14
10232	\v 1
10243	\q1 \v 2
10261	\q1 \v 3
10297	\q1 \v 4
10318	\q1 \v 5
10334	\q1 \v 6
10358	\q2 \v 7
10383	\q2 \v 8
10414	\q2 \v 9
10452	\q1 \v 10
10486	\v 11
10498	\v 12
10541	\v 13
10575	\v 14
10628	\v 15
10669	\v 16
10725	\q1 \v 17
10766	\q1 \v 18
10808	\q1 \v 19
10850	\q1 \v 20
10868	\q1 \v 21
10894	\q1 \v 22
10934	\c 15
10936	\v 1
10966	\v 2
11018	\v 3
11055	\v 4
11085	\q1 \v 5
11109	\q1 \v 6
11136	\q1 \v 7
11171	\q1 \v 8
11214	\q1 \v 9
11266	\q1 \v 10
11304	\q1 \v 11
11332	\q1 \v 12
11344	\q1 \v 13
11366	\q1 \v 14
11398	\q1 \v 15
11436	\q1 \v 16
11471	\q1 \v 17
11501	\q1 \v 18
11528	\q1 \v 19
11578	\q1 \v 20
11618	\q1 \v 21
11642	\c 16
11644	\v 1
11653	\v 2
11674	\v 3
11708	\v 4
11769	\v 5
11804	\v 6
11841	\v 7
11879	\v 8
11898	\v 9
11945	\v 10
11989	\v 11
12035	\v 12
12065	\v 13
12109	\v 14
12139	\v 15
12187	\v 16
12234	\v 17
12258	\v 18
12294	\q1 \v 19
12336	\q1 \v 20
12347	\q1 \v 21
12378	\c 17
12379	\q1 \v 1
12411	\q1 \v 2
12430	\q1 \v 3
12455	\q1 \v 4
12501	\q1 \v 5
12523	\q1 \v 6
12560	\q1 \v 7
12573	\q1 \v 8
12627	\q1 \v 9
12640	\q1 \v 10
12665	\q1 \v 11
12704	\q1 \v 12
12717	\q1 \v 13
12753	\q1 \v 14
12774	\q1 \v 15
12788	\q1 \v 16
12822	\q1 \v 17
12837	\q1 \v 18
12882	\v 19
12919	\v 20
12953	\v 21
12980	\v 22
13019	\v 23
13042	\v 24
13087	\v 25
13132	\v 26
13184	\v 27
13244	\c 18
13246	\v 1
13255	\v 2
13275	\v 3
13296	\v 4
13335	\v 5
13344	\v 6
13378	\v 7
13400	\v 8
13427	\v 9
13445	\v 10
13476	\v 11
13523	\v 12
13551	\v 13
13574	\q1 \v 14
13592	\q1 \v 15
13626	\q1 \v 16
13648	\q1 \v 17
13682	\v 18
13732	\q1 \v 19
13745	\q1 \v 20
13780	\q1 \v 21
13826	\q1 \v 22
13860	\q1 \v 23
13908	\c 19
13910	\v 1
13937	\v 2
13967	\v 3
14006	\v 4
14053	\v 5
14094	\v 6
14124	\v 7
14184	\v 8
14209	\v 9
14260	\v 10
14277	\v 11
14326	\v 12
14346	\v 13
14399	\v 14
14429	\v 15
14471	\c 20
14473	\v 1
14491	\v 2
14517	\v 3
14548	\v 4
14612	\v 5
14662	\v 6
14705	\q1 \v 7
14731	\q1 \v 8
14763	\q1 \v 9
14806	\q1 \v 10
14852	\q1 \v 11
14886	\q1 \v 12
14917	\q1 \v 13
14937	\q1 \v 14
14958	\q1 \v 15
14983	\q1 \v 16
15015	\q1 \v 17
15040	\q1 \v 18
15064	\c 21
15066	\v 1
15092	\v 2
15128	\v 3
15138	\v 4
15191	\v 5
15217	\v 6
15237	\v 7
15325	\v 8
15350	\v 9
15395	\v 10
15433	\v 11
15446	\q1 \v 12
15496	\q1 \v 13
15527	\q1 \v 14
15560	\c 22
15562	\v 1
15579	\v 2
15611	\v 3
15656	\v 4
15693	\v 5
15717	\v 6
15748	\q1 \v 7
15778	\v 8
15806	\v 9
15834	\v 10
15868	\v 11
15902	\v 12
15922	\q1 \v 13
15951	\q1 \v 14
15986	\v 15
16012	\v 16
16036	\v 17
16073	\v 18
16110	\q1 \v 19
16129	\q1 \v 20
16153	\q1 \v 21
16179	\q1 \v 22
16206	\q1 \v 23
16237	\v 24
16267	\v 25
16309	\v 26
16333	\v 27
16352	\q1 \v 28
16389	\q1 \v 29
16397	\q1 \v 30
16433	\c 23
16435	\v 1
16452	\v 2
16500	\v 3
16535	\v 4
16570	\q1 \v 5
16604	\q1 \v 6
16633	\v 7
16660	\v 8
16704	\v 9
16747	\q1 \v 10
16784	\q1 \v 11
16803	\q1 \v 12
16844	\q1 \v 13
16864	\q1 \v 14
16916	\v 15
16955	\v 16
16993	\q1 \v 17
17030	\q1 \v 18
17054	\q1 \v 19
17076	\q1 \v 20
17110	\q1 \v 21
17130	\q1 \v 22
17169	\q1 \v 23
17183	\q1 \v 24
17215	\v 25
17236	\v 26
17260	\v 27
17295	\v 28
17337	\v 29
17356	\v 30
17375	\v 31
17392	\v 32
17448	\v 33
17480	\v 34
17502	\v 35
17526	\v 36
17558	\v 37
17572	\v 38
17602	\v 39
17628	\v 40
17645	\c 24
17647	\v 1
17695	\v 2
17718	\v 3
17750	\v 4
17759	\v 5
17792	\v 6
17829	\v 7
17874	\v 8
17918	\v 9
17959	\v 10
17991	\c 25
17993	\v 1
18026	\v 2
18047	\v 3
18087	\v 4
18117	\v 5
18151	\v 6
18188	\v 7
18214	\v 8
18227	\v 9
18293	\v 10
18334	\v 11
18358	\v 12
18396	\v 13
18431	\v 14
18463	\v 15
18499	\v 16
18523	\v 17
18547	\v 18
18574	\v 19
18589	\v 20
18625	\v 21
18633	\v 22
18657	\v 23
18674	\v 24
18695	\v 25
18716	\v 26
18760	\v 27
18798	\v 28
18828	\v 29
18879	\v 30
18937	\q1 \v 31
18975	\q1 \v 32
19004	\q1 \v 33
19053	\q1 \v 34
19089	\q1 \v 35
19105	\q1 \v 36
19130	\q1 \v 37
19148	\q1 \v 38
19184	\c 26
19186	\v 1
19206	\v 2
19254	\v 3
19293	\v 4
19322	\v 5
19347	\v 6
19373	\v 7
19393	\v 8
19428	\v 9
19466	\v 10
19501	\v 11
19540	\v 12
19571	\v 13
19602	\v 14
19627	\v 15
19675	\v 16
19711	\v 17
19731	\v 18
19783	\v 19
19831	\v 20
19867	\v 21
19905	\v 22
19921	\v 23
19955	\v 24
19984	\c 27
19986	\v 1
20009	\v 2
20026	\v 3
20076	\v 4
20098	\v 5
20136	\v 6
20171	\v 7
20210	\v 8
20273	\v 9
20313	\v 10
20341	\v 11
20380	\v 12
20412	\v 13
20445	\v 14
20475	\v 15
20514	\v 16
20565	\v 17
20586	\v 18
20633	\v 19
20661	\v 20
20691	\v 21
20719	\v 22
20752	\c 28
20754	\v 1
20808	\v 2
20828	\v 3
20862	\v 4
20907	\v 5
20938	\v 6
20975	\v 7
20996	\v 8
21031	\v 9
21058	\v 10
21077	\v 11
21127	\v 12
21152	\v 13
21181	\v 14
21228	\v 15
21255	\v 16
21283	\v 17
21296	\c 29
21298	\v 1
21343	\v 2
21372	\v 3
21408	\v 4
21429	\v 5
21442	\v 6
21476	\v 7
21509	\v 8
21547	\v 9
21569	\v 10
21600	\v 11
21632	\v 12
21651	\v 13
21668	\v 14
21725	\v 15
21738	\v 16
21777	\v 17
21810	\v 18
21861	\v 19
21897	\v 20
21916	\v 21
21969	\v 22
22008	\v 23
22059	\v 24
22068	\v 25
22108	\v 26
22150	\v 27
22168	\v 28
22197	\v 29
22213	\v 30
22222	\v 31
22254	\v 32
22312	\c 30
22314	\v 1
22323	\v 2
22346	\v 3
22391	\v 4
22404	\v 5
22421	\q1 \v 6
22458	\q1 \v 7
22485	\q1 \v 8
22521	\q1 \v 9
22539	\q1 \v 10
22595	\q1 \v 11
22649	\q1 \v 12
22661	\q1 \v 13
22679	\q1 \v 14
22719	\q1 \v 15
22748	\q1 \v 16
22793	\q1 \v 17
22827	\q1 \v 18
22867	\q1 \v 19
22903	\q1 \v 20
22929	\q1 \v 21
22973	\q1 \v 22
22990	\q1 \v 23
23011	\q1 \v 24
23043	\c 31
23045	\v 1
23068	\v 2
23088	\q1 \v 3
23112	\q1 \v 4
23145	\q1 \v 5
23165	\q1 \v 6
23196	\v 7
23227	\q1 \v 8
23273	\q1 \v 9
23321	\q1 \v 10
23355	\q1 \v 11
23371	\q1 \v 12
23433	\q1 \v 13
23471	\q1 \v 14
23495	\q1 \v 15
23527	\q1 \v 16
23559	\q1 \v 17
23575	\q1 \v 18
23608	\q1 \v 19
23643	\q1 \v 20
23687	\q1 \v 21
23715	\q1 \v 22
23741	\v 23
23779	\v 24
23799	\v 25
23813	\v 26
23828	\v 27
23857	\v 28
23899	\v 29
23921	\q1 \v 30
23942	\q1 \v 31
23967	\q1 \v 32
24016	\q1 \v 33
24069	\q1 \v 34
24119	\q1 \v 35
24160	\q1 \v 36
24187	\q1 \v 37
24230	\v 38
24255	\v 39
24274	\v 40
24325	\c 32
24327	\v 1
24352	\v 2
24390	\v 3
24427	\v 4
24472	\v 5
24504	\v 6
24514	\v 7
24545	\v 8
24614	\v 9
24645	\v 10
24668	\v 11
24689	\v 12
24747	\v 13
24755	\v 14
24794	\v 15
24818	\v 16
24838	\v 17
24865	\v 18
24894	\v 19
24931	\v 20
24962	\v 21
24993	\v 22
25017	\v 23
25063	\v 24
25117	\v 25
25150	\v 26
25159	\v 27
25174	\v 28
25205	\v 29
25253	\v 30
25294	\v 31
25329	\v 32
25372	\v 33
25399	\v 34
25417	\v 35
25472	\v 36
25512	\v 37
25552	\v 38
25565	\v 39
25592	\v 40
25634	\v 41
25666	\v 42
25696	\v 43
25728	\v 44
25797	\c 33
25799	\v 1
25822	\v 2
25837	\v 3
25861	\v 4
25896	\v 5
25941	\v 6
25968	\v 7
25990	\v 8
26025	\v 9
26083	\v 10
26130	\v 11
26197	\v 12
26230	\v 13
26285	\v 14
26313	\v 15
26341	\v 16
26362	\v 17
26385	\v 18
26420	\v 19
26429	\v 20
26457	\v 21
26487	\v 22
26525	\v 23
26534	\v 24
26569	\v 25
26592	\v 26
26633	\c 34
26635	\v 1
26678	\v 2
26720	\v 3
26769	\v 4
26791	\v 5
26835	\v 6
26850	\v 7
26889	\v 8
26916	\v 9
26949	\v 10
26993	\v 11
27027	\v 12
27038	\v 13
27072	\v 14
27124	\v 15
27162	\v 16
27209	\v 17
27266	\v 18
27301	\v 19
27331	\v 20
27372	\v 21
27417	\v 22
27458	\c 35
27460	\v 1
27480	\v 2
27510	\v 3
27534	\v 4
27581	\v 5
27606	\v 6
27634	\v 7
27688	\v 8
27723	\v 9
27744	\v 10
27765	\v 11
27815	\v 12
27824	\v 13
27859	\v 14
27915	\v 15
27981	\v 16
28009	\v 17
28063	\v 18
28108	\v 19
28138	\c 36
28140	\v 1
28164	\v 2
28213	\v 3
28254	\v 4
28286	\v 5
28304	\v 6
28360	\v 7
28396	\v 8
28427	\v 9
28473	\v 10
28523	\v 11
28541	\v 12
28592	\v 13
28616	\v 14
28669	\v 15
28688	\v 16
28720	\v 17
28739	\v 18
28762	\v 19
28783	\v 20
28817	\v 21
28861	\v 22
28884	\v 23
28932	\v 24
28956	\v 25
28979	\v 26
29013	\v 27
29039	\v 28
29065	\v 29
29110	\v 30
29151	\v 31
29200	\v 32
29251	\c 37
29253	\v 1
29279	\v 2
29309	\v 3
29339	\v 4
29361	\v 5
29392	\v 6
29403	\v 7
29448	\v 8
29468	\v 9
29489	\v 10
29528	\v 11
29552	\v 12
29576	\v 13
29617	\v 14
29645	\v 15
29679	\v 16
29701	\v 17
29747	\v 18
29777	\v 19
29800	\v 20
29835	\v 21
29884	\c 38
29886	\v 1
29918	\v 2
29962	\v 3
29988	\v 4
30053	\v 5
30074	\v 6
30124	\v 7
30160	\v 8
30177	\v 9
30223	\v 10
30252	\v 11
30293	\v 12
30319	\v 13
30345	\v 14
30388	\v 15
30419	\v 16
30459	\v 17
30511	\v 18
30554	\v 19
30584	\v 20
30616	\v 21
30633	\v 22
30691	\v 23
30736	\v 24
30753	\v 25
30804	\v 26
30838	\v 27
30876	\v 28
30901	\c 39
30903	\v 1
30932	\v 2
30952	\v 3
30993	\v 4
31045	\v 5
31089	\v 6
31115	\v 7
31135	\v 8
31160	\v 9
31200	\v 10
31239	\v 11
31258	\v 12
31285	\v 13
31310	\v 14
31352	\v 15
31373	\v 16
31417	\v 17
31447	\v 18
31481	\c 40
31483	\v 1
31531	\v 2
31552	\v 3
31582	\v 4
31653	\v 5
31723	\v 6
31755	\v 7
31816	\v 8
31860	\v 9
31902	\v 10
31946	\v 11
31999	\v 12
32038	\v 13
32061	\v 14
32100	\v 15
32157	\v 16
32185	\c 41
32187	\v 1
32237	\v 2
32284	\v 3
32310	\v 4
32328	\v 5
32367	\v 6
32405	\v 7
32439	\v 8
32492	\v 9
32542	\v 10
32610	\v 11
32641	\v 12
32670	\v 13
32703	\v 14
32728	\v 15
32753	\v 16
32821	\v 17
32838	\v 18
32875	\c 42
32877	\v 1
32905	\v 2
32936	\v 3
32955	\v 4
32991	\v 5
33018	\v 6
33062	\v 7
33075	\v 8
33101	\v 9
33125	\v 10
33168	\v 11
33199	\v 12
33222	\v 13
33246	\v 14
33289	\v 15
33321	\v 16
33353	\v 17
33400	\v 18
33467	\v 19
33496	\v 20
33531	\v 21
33560	\v 22
33587	\c 43
33589	\v 1
33615	\v 2
33650	\v 3
33684	\v 4
33712	\v 5
33747	\v 6
33792	\v 7
33812	\v 8
33823	\v 9
33855	\v 10
33903	\v 11
33947	\v 12
33992	\v 13
34015	\c 44
34017	\v 1
34044	\v 2
34081	\v 3
34118	\v 4
34142	\v 5
34163	\v 6
34199	\v 7
34244	\v 8
34303	\v 9
34345	\v 10
34378	\v 11
34407	\v 12
34482	\v 13
34507	\v 14
34560	\v 15
34599	\v 16
34616	\v 17
34680	\v 18
34715	\v 19
34760	\v 20
34781	\v 21
34826	\v 22
34870	\v 23
34909	\v 24
34934	\v 25
34991	\v 26
35049	\v 27
35081	\v 28
35131	\v 29
35163	\v 30
35221	\c 45
35223	\v 1
35265	\v 2
35274	\v 3
35298	\v 4
35332	\v 5
35372	\c 46
35374	\v 1
35389	\v 2
35431	\q1 \v 3
35445	\q1 \v 4
35474	\q1 \v 5
35510	\q1 \v 6
35533	\q1 \v 7
35550	\q1 \v 8
35581	\q1 \v 9
35611	\q1 \v 10
35670	\q1 \v 11
35697	\q1 \v 12
35724	\v 13
35746	\q1 \v 14
35773	\q1 \v 15
35795	\q1 \v 16
35840	\q1 \v 17
35861	\q1 \v 18
35884	\q1 \v 19
35916	\q1 \v 20
35935	\q1 \v 21
35975	\q1 \v 22
36001	\q1 \v 23
36027	\q1 \v 24
36050	\v 25
36081	\v 26
36123	\v 27
36175	\v 28
36225	\c 47
36227	\v 1
36251	\q1 \v 2
36302	\q1 \v 3
36336	\q1 \v 4
36378	\v 5
36406	\q1 \v 6
36428	\q1 \v 7
36453	\c 48
36455	\v 1
36486	\q1 \v 2
36522	\q1 \v 3
36538	\q1 \v 4
36549	\q1 \v 5
36573	\q1 \v 6
36586	\q1 \v 7
36617	\q1 \v 8
36644	\q1 \v 9
36669	\q1 \v 10
36694	\q1 \v 11
36733	\q1 \v 12
36764	\q1 \v 13
36785	\q1 \v 14
36796	\q1 \v 15
36828	\q1 \v 16
36838	\q1 \v 17
36865	\q1 \v 18
36899	\q1 \v 19
36922	\q1 \v 20
36952	\q1 \v 21
36965	\q1 \v 22
36971	\q1 \v 23
36978	\q1 \v 24
36998	\q1 \v 25
37017	\v 26
37040	\v 27
37073	\q1 \v 28
37100	\q1 \v 29
37121	\v 30
37138	\q1 \v 31
37165	\q1 \v 32
37204	\q1 \v 33
37250	\v 34
37281	\v 35
37309	\v 36
37337	\v 37
37359	\v 38
37387	\q1 \v 39
37424	\v 40
37442	\q1 \v 41
37473	\q1 \v 42
37493	\q1 \v 43
37510	\q1 \v 44
37555	\q1 \v 45
37601	\q1 \v 46
37621	\q1 \v 47
37643	\c 49
37644	\q1 \v 1
37679	\q1 \v 2
37729	\q1 \v 3
37764	\q1 \v 4
37793	\q1 \v 5
37839	\q1 \v 6
37857	\q1 \v 7
37888	\q1 \v 8
37919	\q1 \v 9
37949	\q1 \v 10
37983	\q1 \v 11
38004	\v 12
38038	\v 13
38071	\q1 \v 14
38096	\q1 \v 15
38113	\q1 \v 16
38159	\q1 \v 17
38181	\q1 \v 18
38205	\q1 \v 19
38264	\q1 \v 20
38306	\q1 \v 21
38327	\q1 \v 22
38365	\q1 \v 23
38393	\q1 \v 24
38419	\q1 \v 25
38435	\q1 \v 26
38461	\q1 \v 27
38484	\v 28
38517	\q1 \v 29
38555	\q1 \v 30
38585	\q1 \v 31
38613	\q1 \v 32
38657	\q1 \v 33
38681	\v 34
38711	\v 35
38732	\q1 \v 36
38774	\q1 \v 37
38817	\q1 \v 38
38837	\q1 \v 39
38858	\c 50
38860	\v 1
38881	\q1 \v 2
38925	\q1 \v 3
38953	\q1 \v 4
38983	\q1 \v 5
39017	\v 6
39052	\q1 \v 7
39081	\q1 \v 8
39108	\q1 \v 9
39154	\q1 \v 10
39171	\q1 \v 11
39196	\q1 \v 12
39227	\q1 \v 13
39261	\q1 \v 14
39291	\q1 \v 15
39329	\q1 \v 16
39372	\q1 \v 17
39399	\v 18
39432	\q1 \v 19
39459	\q1 \v 20
39504	\q1 \v 21
39537	\q1 \v 22
39550	\q1 \v 23
39573	\q1 \v 24
39602	\q1 \v 25
39633	\q1 \v 26
39661	\q1 \v 27
39685	\q1 \v 28
39720	\q1 \v 29
39764	\q1 \v 30
39791	\q1 \v 31
39821	\q1 \v 32
39851	\q1 \v 33
39883	\q1 \v 34
39921	\q1 \v 35
39942	\q1 \v 36
39965	\q1 \v 37
40006	\q1 \v 38
40037	\q1 \v 39
40074	\q1 \v 40
40100	\q1 \v 41
40125	\q1 \v 42
40167	\q1 \v 43
40193	\q1 \v 44
40253	\q1 \v 45
40294	\q1 \v 46
40315	\c 51
40316	\q1 \v 1
40340	\q1 \v 2
40370	\q1 \v 3
40398	\q1 \v 4
40421	\q1 \v 5
40449	\q1 \v 6
40484	\q1 \v 7
40507	\q1 \v 8
40530	\q1 \v 9
40567	\q1 \v 10
40586	\q1 \v 11
40624	\q1 \v 12
40657	\q1 \v 13
40686	\q1 \v 14
40716	\q1 \v 15
40741	\q1 \v 16
40779	\q1 \v 17
40808	\q1 \v 18
40824	\q1 \v 19
40857	\q1 \v 20
40875	\q1 \v 21
40895	\q1 \v 22
40926	\q1 \v 23
40957	\q1 \v 24
40986	\q1 \v 25
41022	\q1 \v 26
41050	\q1 \v 27
41085	\q1 \v 28
41112	\q1 \v 29
41142	\q1 \v 30
41173	\q1 \v 31
41204	\q1 \v 32
41227	\q1 \v 33
41266	\q1 \v 34
41309	\q1 \v 35
41341	\q1 \v 36
41372	\q1 \v 37
41395	\q1 \v 38
41409	\q1 \v 39
41444	\q1 \v 40
41461	\q1 \v 41
41485	\q1 \v 42
41501	\q1 \v 43
41525	\q1 \v 44
41562	\q1 \v 45
41583	\q1 \v 46
41631	\q1 \v 47
41663	\q1 \v 48
41691	\q1 \v 49
41713	\q1 \v 50
41735	\q1 \v 51
41760	\q1 \v 52
41785	\q1 \v 53
41811	\q1 \v 54
41827	\q1 \v 55
41854	\q1 \v 56
41887	\q1 \v 57
41924	\q1 \v 58
41970	\q1 \v 59
42009	\v 60
42036	\v 61
42055	\v 62
42087	\v 63
42109	\v 64
42138	\c 52
42140	\v 1
42169	\v 2
42186	\v 3
42214	\v 4
42262	\v 5
42277	\v 6
42304	\v 7
42357	\v 8
42388	\v 9
42414	\v 10
42436	\v 11
42469	\v 12
42515	\v 13
42539	\v 14
42563	\v 15
42607	\v 16
42631	\v 17
42674	\v 18
42700	\v 19
42735	\v 20
42772	\v 21
42797	\v 22
42836	\v 23
42856	\v 24
42877	\v 25
42936	\v 26
42955	\v 27
42984	\v 28
42998	\v 29
43010	\v 30
43037	\v 31
43087	\v 32
43111	\v 33
43130	\v 34
