Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:6	c5ci		rc://*/ta/man/translate/grammar-connect-logic-contrast	אַ֣ךְ דְּבָרַ֣⁠י וְ⁠חֻקַּ֗⁠י	1	Yahweh uses the word **But** here to indicate a contrast between the mortality of the fathers and prophets and the enduring effect of God’s words and statutes. In your translation, indicate this contrast in a way that is natural in your language. Alternate translation: [However, my words and my statutes]
1:6	rfrk		rc://*/ta/man/translate/figs-rquestion	הֲ⁠ל֥וֹא הִשִּׂ֖יגוּ אֲבֹתֵי⁠כֶ֑ם	1	Yahweh is using the question form to emphasize that his words certainly did overtake the ancestors. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [they certainly overtook your fathers.]
1:6	ipxv		rc://*/ta/man/translate/writing-pronouns	וַ⁠יָּשׁ֣וּבוּ וַ⁠יֹּאמְר֗וּ	1	The pronoun **they** refers to the ancestors, not to the words and statutes mentioned earlier in the verse. It may be helpful to clarify this for your readers. Alternate translation: [And your ancestors repented and said]
1:6	diwt		rc://*/ta/man/translate/figs-metaphor	כִּ⁠דְרָכֵ֨י⁠נוּ֙ וּ⁠כְ⁠מַ֣עֲלָלֵ֔י⁠נוּ	1	The ancestors are speaking of how they lived as if that were a **way** or path that they were walking along. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [according to how we behaved and according to what we did]
1:6	xt7o		rc://*/ta/man/translate/figs-personification	דְּבָרַ֣⁠י וְ⁠חֻקַּ֗⁠י & הִשִּׂ֖יגוּ אֲבֹתֵי⁠כֶ֑ם	1	Yahweh is speaking of **my words and my statutes** as if they were living things that could pursue and catch people. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [my words and my statutes, … did they not come true for your fathers]
1:7	sup8		rc://*/ta/man/translate/writing-newevent	בְּ⁠יוֹם֩ עֶשְׂרִ֨ים וְ⁠אַרְבָּעָ֜ה	1	Zechariah is using the phrase **On the twenty-fourth day** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:7	c2wo		rc://*/ta/man/translate/figs-idiom	הָיָ֣ה דְבַר־יְהוָ֗ה אֶל־זְכַרְיָה֙	1	Zechariah is using **the word of Yahweh came to Zechariah** as a common expression of the culture to mean “Yahweh communicated a message to Zechariah.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [Yahweh spoke his message to Zechariah] or [Yahweh gave his message to Zechariah]
1:8	g6xm		rc://*/ta/man/translate/writing-newevent	רָאִ֣יתִי הַ⁠לַּ֗יְלָה וְ⁠הִנֵּה	1	Zechariah is using the phrase **I saw in the night, and behold** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:10	pjw4		rc://*/ta/man/translate/writing-quotations	וַ⁠יַּ֗עַן & וַ⁠יֹּאמַ֑ר	1	The terms **answered and said** together introduce a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent both terms explicitly.
1:10	t5x5		rc://*/ta/man/translate/writing-pronouns	אֵ֚לֶּה	1	The pronoun **These** refers to the horses and their riders that Yahweh sent to patrol the earth. It may be helpful to clarify this for your readers. Alternate translation: [These horses and riders]
1:11	h0e7		rc://*/ta/man/translate/writing-pronouns	וַֽ⁠יַּעֲנ֞וּ	1	The pronoun **they** refers to the horse riders who had been patrolling the earth, described in verse 8. It may be helpful to clarify this for your readers. Alternate translation: [And the riders answered]
1:11	bau4		rc://*/ta/man/translate/writing-quotations	וַֽ⁠יַּעֲנ֞וּ & וַ⁠יֹּאמְר֖וּ	1	The terms **answered** and **said** together introduce a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent both terms explicitly.
1:11	txlq		rc://*/ta/man/translate/figs-personification	כָל־הָ⁠אָ֖רֶץ יֹשֶׁ֥בֶת וְ⁠שֹׁקָֽטֶת	1	The riders are speaking of **all of the earth** as if it were a living thing that could sit down and be quiet. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [all the peoples of the earth are peaceful and calm]
1:12	wiu2		rc://*/ta/man/translate/figs-rquestion	עַד־מָתַ֗י אַתָּה֙ לֹֽא־תְרַחֵ֣ם אֶת־יְרוּשָׁלִַ֔ם וְ⁠אֵ֖ת עָרֵ֣י יְהוּדָ֑ה אֲשֶׁ֣ר זָעַ֔מְתָּה זֶ֖ה שִׁבְעִ֥ים שָׁנָֽה	1	The angel of Yahweh is using the question form to urgently plead with God to show mercy. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [Please have compassion on Jerusalem and the cities of Judah with which you have been indignant these 70 years now!]
1:12	qqqe		rc://*/ta/man/translate/figs-metonymy	יְרוּשָׁלִַ֔ם וְ⁠אֵ֖ת עָרֵ֣י יְהוּדָ֑ה	1	Here, **Jerusalem and on the cities of Judah** represents the people who live in those places. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [on the people of Jerusalem and the people of the cities of Judah]
1:13	kclp		rc://*/ta/man/translate/figs-abstractnouns	דְּבָרִ֖ים נִחֻמִֽים	1	If your language does not use an abstract noun for the idea of **comfort**, you could express the same idea in another way. Alternate translation: [words that comforted him]
1:14	ts6n		rc://*/ta/man/translate/figs-quotations	קְרָ֣א לֵ⁠אמֹ֔ר כֹּ֥ה אָמַ֖ר יְהוָ֣ה צְבָא֑וֹת	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: [Proclaim that Yahweh of Armies says this]
1:14	wq0u		rc://*/ta/man/translate/writing-poetry	קִנֵּ֧אתִי & קִנְאָ֥ה גְדוֹלָֽה	1	Yahweh is using a construction in which a verb and its object come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of saying this. Alternate translation: [I have been very zealous]
1:14	j6qc		rc://*/ta/man/translate/figs-abstractnouns	קִנְאָ֥ה גְדוֹלָֽה	1	If your language does not use an abstract noun for the idea of **jealousy**, you could express the same idea in another way. Alternate translation: [indeed very jealous]
1:15	gpa3		rc://*/ta/man/translate/figs-abstractnouns	לְ⁠רָעָֽה	1	If your language does not use an abstract noun for the idea of **the evil**, you could express the same idea in another way. Alternate translation: [to do what was harmful]
1:15	rzoy		rc://*/ta/man/translate/grammar-connect-logic-contrast	אֲשֶׁ֤ר אֲנִי֙ קָצַ֣פְתִּי מְּעָ֔ט וְ⁠הֵ֖מָּה עָזְר֥וּ לְ⁠רָעָֽה	1	Yahweh uses the word **but** here to indicate a contrast between the limited extent of his anger and the excessive harm the nations inflicted. In your translation, indicate this contrast in a way that is natural in your language. Alternate translation: [for I was angry only a little, yet they made the harm far worse]
1:15	kzc5		rc://*/ta/man/translate/writing-pronouns	אֲנִ֣י קֹצֵ֔ף & אֲנִי֙ קָצַ֣פְתִּי	1	The pronoun **I** is repeated for emphasis in both clauses. You could translate Yahweh’s emphasis with a phrase that conveys strong personal involvement in your language. Alternate translation: [I myself am angry…I myself was angry]
1:15	l7xo		rc://*/ta/man/translate/writing-poetry	וְ⁠קֶ֤צֶף גָּדוֹל֙ אֲנִ֣י קֹצֵ֔ף	1	Yahweh is using a construction in which a verb and its object come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of saying this. Alternate translation: [And I am very, very angry]
1:16	zppi		rc://*/ta/man/translate/grammar-connect-logic-result	לָ⁠כֵ֞ן	1	The term translated as **Therefore** indicates that what follows is a result of what came before. Use a connector in your language that makes this clear. Alternate translation: [Because of this]
1:16	nthf		rc://*/ta/man/translate/figs-metaphor	שַׁ֤בְתִּי לִ⁠ירוּשָׁלִַ֨ם֙ בְּֽ⁠רַחֲמִ֔ים	1	Here Yahweh is speaking as if his renewed favor toward Jerusalem were a physical journey back to the city. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [I have again shown favor to Jerusalem with mercy] or [I have once again been gracious to Jerusalem]
1:16	qmxv		rc://*/ta/man/translate/figs-abstractnouns	בְּֽ⁠רַחֲמִ֔ים	1	If your language does not use an abstract noun for the idea of **compassions**, you could express the same idea in another way. Alternate translation: [while acting mercifully to her people]
1:16	txk2		rc://*/ta/man/translate/figs-activepassive	בֵּיתִ⁠י֙ יִבָּ֣נֶה בָּ֔⁠הּ	1	The expression **My house will be built in her** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. If you need to say who does the action, the context indicates that it is the people of Jerusalem. Alternate translation: [the people will build my house in her]
1:16	lmp8		rc://*/ta/man/translate/figs-activepassive	וְקָ֥ו יִנָּטֶ֖ה עַל־יְרוּשָׁלִָֽם	1	The expression **a measuring line will be stretched out over Jerusalem** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. If you need to say who does the action, the context indicates that it is the builders. Alternate translation: [and the builders will stretch out a measuring line over Jerusalem]
1:16	x0hx		rc://*/ta/man/translate/translate-unknown	וְקָ֥ו	1	A **measuring line** is a kind of rope or cord that builders stretch out to measure distances when constructing or planning a building or city. If your readers would not be familiar with what a measuring line is, you could use the name of a similar thing that your readers would recognize, or you could use a more general term. Alternate translation: [and a measuring rope]
1:17	ptep		rc://*/ta/man/translate/figs-metonymy	עָרַ֖⁠י	1	Here, **My cities** represents the people who live in those cities. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [The people living in my cities]
1:17	vr1k		rc://*/ta/man/translate/figs-quotemarks	קְרָ֣א לֵ⁠אמֹ֗ר	1	There are three levels of quotation here. The angel of Yahweh is speaking to Zechariah (level 1) and telling him to proclaim a message (level 2), which itself quotes what Yahweh of Armies says (level 3). Use the appropriate punctuation in your language to mark these levels of quotation. Alternatively, you could translate this so that there is not a third-level quotation.
1:17	q1av		rc://*/ta/man/translate/figs-abstractnouns	מִ⁠טּ֑וֹב	1	If your language does not use an abstract noun for the idea of **goodness**, you could express the same idea in another way. Alternate translation: [from good things]
1:18	ia3g		rc://*/ta/man/translate/writing-newevent	וָ⁠אֶשָּׂ֥א אֶת־עֵינַ֖⁠י וָ⁠אֵ֑רֶא	1	Zechariah is using the phrase **And I lifted up my eyes and I saw** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:18	sk90		rc://*/ta/man/translate/figs-idiom	וָ⁠אֶשָּׂ֥א אֶת־עֵינַ֖⁠י	1	Zechariah is using **And I lifted up my eyes** as a common expression of the culture to mean “I looked” or “I directed my attention.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [And I looked up] or [And I directed my gaze upward]
1:19	e06j		rc://*/ta/man/translate/figs-metonymy	הַ⁠קְּרָנוֹת֙ אֲשֶׁ֣ר זֵר֣וּ אֶת־יְהוּדָ֔ה	1	Here, **the horns** represents the military power of the nations that attacked God’s people. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [the powerful nations that scattered the people of Judah]
1:19	i9tz		rc://*/ta/man/translate/figs-metonymy	יְהוּדָ֔ה אֶת־יִשְׂרָאֵ֖ל וִ⁠ירוּשָׁלָֽם	1	Here, **Judah, Israel, and Jerusalem** represents the people who lived in those nations and that city. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [the people of Judah, the people of Israel, and the people of Jerusalem]
1:21	bbtm		rc://*/ta/man/translate/writing-pronouns	אֵ֥לֶּה & אֵ֣לֶּה הַ⁠קְּרָנ֞וֹת & וַ⁠יָּבֹ֤אוּ אֵ֨לֶּה֙	1	The word **These** is used three times in this verse with two different referents. The first and third **these** refers to the craftsmen. The second **these** refers to the horns, that is, the powerful nations. It may be helpful to clarify this for your readers. Alternate translation: [are these craftsmen … These horns are the nations … And these craftsmen have come]
1:21	mw4a		rc://*/ta/man/translate/grammar-connect-logic-result	וַ⁠יָּבֹ֤אוּ אֵ֨לֶּה֙ לְ⁠הַחֲרִ֣יד אֹתָ֔⁠ם	1	The term translated as **And** here indicates that what follows is the result or purpose of what came before. The craftsmen have come in order to terrify the nations that scattered Judah. Use a connector in your language that makes this clear. Alternate translation: [So these have come to terrify them]
1:21	fthm		rc://*/ta/man/translate/figs-metonymy	קַרְנ֣וֹת הַ⁠גּוֹיִ֗ם	1	Here, **the horns of the nations** represents the military power of those nations. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [the armies of the nations]
1:21	fpd0		rc://*/ta/man/translate/figs-metonymy	אֶ֥רֶץ יְהוּדָ֖ה	1	Here, **the land of Judah** represents the people who live there. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [against the people of Judah]
1:21	i8z5		rc://*/ta/man/translate/figs-idiom	כְּ⁠פִי	1	The angel is using **according to the mouth of** as a common expression of the culture to mean “so that.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [to the extent that]
1:21	acua		rc://*/ta/man/translate/figs-idiom	אִישׁ֙ לֹא־נָשָׂ֣א רֹאשׁ֔⁠וֹ	1	The angel is using **has not lifted up his head** as a common expression of the culture to mean “no one was able to resist or act with confidence.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [no one was able to resist them] or [no one dared to oppose them]
1:21	ke1g		rc://*/ta/man/translate/figs-metonymy	הַ⁠נֹּשְׂאִ֥ים קֶ֛רֶן אֶל־אֶ֥רֶץ יְהוּדָ֖ה	1	Here, **lifting up a horn** represents exercising aggressive military power. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [the ones using their military power against the land of Judah]
2:intro	j9a8				0	# Zechariah 2 General Notes\n\n## Structure and Formatting\n\nThis chapter is introduced in prose with imagery used in the rest of the chapter to portray Zechariah’s third vision about measuring lines given by the Lord.\n\nSome translations prefer to set apart quotations. The ULT and many other English translations set the lines of 2:4–13, which are extended quotations, farther to the right on the page than the rest of the text.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Visions\n\nThis book contains a number of visions given to Zechariah so the images are not ones Zechariah actually saw but were given to him in a vision or dream. It is important for each of these visions to keep their meanings and not be interpreted to mean any specific thing. Please be careful to translate each of the terms in your language.
2:1	jrdm		rc://*/ta/man/translate/figs-idiom	וָ⁠אֶשָּׂ֥א עֵינַ֛⁠י	1	The expression **I lifted up my eyes** was a common expression meaning “I looked up” or “I looked intently.” If this expression does not communicate well in your language, you could use an equivalent expression or state the meaning plainly. Alternate translation: [I looked up]
2:1	bfoo		rc://*/ta/man/translate/figs-idiom	וְ⁠הִנֵּה־אִ֑ישׁ	1	The word **behold** here alerts the reader to pay attention to the surprising information that follows. Your language may have a comparable expression that you could use here. Alternate translation: [and there was a man]
2:1	nzl3		rc://*/ta/man/translate/figs-possession	חֶ֥בֶל מִדָּֽה	1	Zechariah is using the possessive form to describe a **rope** that is used for **measuring**. If it would be helpful in your language, you could express the idea behind the possessive form with an equivalent phrase. Alternate translation: [a string for measuring]
2:1	sc5p		rc://*/ta/man/translate/writing-newevent	וָ⁠אֶשָּׂ֥א עֵינַ֛⁠י וָ⁠אֵ֖רֶא וְ⁠הִנֵּה	1	The phrase **And I lifted up my eyes and saw, and behold** is a way that Zechariah introduces each new vision in his book. Your language may have its own way of introducing a new vision or important event in a narrative.
2:3	pehe		rc://*/ta/man/translate/figs-idiom	וְ⁠הִנֵּ֗ה הַ⁠מַּלְאָ֛ךְ	1	The word **behold** here alerts the reader to pay attention to the surprising information that follows. Your language may have a comparable expression that you could use here. Alternate translation: [and suddenly the angel]
2:3	j41m		rc://*/ta/man/translate/writing-pronouns	לִ⁠קְרָאתֽ⁠וֹ	1	The pronoun **him** refers to the angel who had been speaking with Zechariah, not to the man with the measuring line. If it would be helpful in your language, you could state that more clearly. Alternate translation: [to meet the interpreting angel]
2:4	l0oe		rc://*/ta/man/translate/writing-pronouns	וַ⁠יֹּ֣אמֶר אֵלָ֔⁠ו	1	Here, **he** refers to the second angel, and **him** refers to the angel who had been speaking with Zechariah. If it would be helpful in your language, you could state that more clearly. Alternate translation: [And the second angel said to the first angel]
2:4	n8uj		rc://*/ta/man/translate/writing-pronouns	הַ⁠נַּ֥עַר הַלָּ֖ז	1	The phrase **that young man** likely refers to the man with the measuring line from verse 1. If it would be helpful in your language, you could state that more clearly. Alternate translation: [the young man who was going to measure Jerusalem]
2:4	hf11		rc://*/ta/man/translate/figs-merism	אָדָ֛ם וּ⁠בְהֵמָ֖ה	1	The second angel is referring to all living creatures by naming two broad categories, **man** and **beast**. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [people and animals of every kind]
2:4	zddw		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹ֑ר	1	The word **saying** introduces a quotation. Use a natural form for introducing a quotation in your language.
2:4	eld8		rc://*/ta/man/translate/figs-metaphor	פְּרָזוֹת֙ תֵּשֵׁ֣ב יְרוּשָׁלִַ֔ם	1	The second angel is speaking of **Jerusalem** as if it would be like **open areas** without walls, meaning the city will have so many inhabitants that people will overflow beyond its walls. If this image does not communicate well in your language, you could express the meaning plainly. Alternate translation: [Jerusalem will be like an unwalled city]
2:4	i0st		rc://*/ta/man/translate/figs-abstractnouns	מֵ⁠רֹ֥ב אָדָ֛ם וּ⁠בְהֵמָ֖ה	1	If it would be helpful in your language, you could express the idea behind the abstract noun **multitude** in another way. Alternate translation: [the many people and animals]
2:4	ihuq		rc://*/ta/man/translate/figs-quotesinquotes	רֻ֗ץ דַּבֵּ֛ר אֶל־הַ⁠נַּ֥עַר הַלָּ֖ז לֵ⁠אמֹ֑ר	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. For example, you could express the inner quotation as an indirect quotation.
2:5	uh4y		rc://*/ta/man/translate/writing-pronouns	וַ⁠אֲנִ֤י אֶֽהְיֶה־לָּ⁠הּ֙	1	Here, the pronoun **I** is repeated for emphasis. Yahweh is emphasizing his personal commitment to protect Jerusalem. If it would be helpful in your language, you could express the emphasis in another way. Alternate translation: [And I, even I, will be for her]
2:5	zgd9		rc://*/ta/man/translate/figs-abstractnouns	נְאֻם־יְהוָ֔ה	1	If it would be helpful in your language, you could express the idea behind the abstract noun **declaration** in another way. Alternate translation: [Yahweh declares]
2:5	wc2m		rc://*/ta/man/translate/figs-metaphor	ח֥וֹמַת אֵ֖שׁ סָבִ֑יב	1	Yahweh is speaking of his protection of Jerusalem as if he were **a wall of fire all around** it, meaning he will powerfully protect the city on every side. If this image does not communicate well in your language, you could express the meaning plainly. Alternate translation: [a powerful defense all around]
2:5	i9yg		rc://*/ta/man/translate/figs-abstractnouns	וּ⁠לְ⁠כָב֖וֹד אֶֽהְיֶ֥ה בְ⁠תוֹכָֽ⁠הּ	1	If it would be helpful in your language, you could express the idea behind the abstract noun **glory** in another way. Alternate translation: [to show how glorious I am, I will be in her midst]
